ds,yhat,yhat_lower,yhat_upper,actual,period_month,metric,deviation_pct,is_anomalous
2024-08-01,2640514.3328092424,2604660.0579775735,2678896.9120591716,4085629.2,2024-08,collections,54.728537135161105,True
2024-09-01,3275336.4636496953,3207137.820967344,3344265.100167903,4252411.14,2024-09,collections,29.831276486982766,True
2024-10-01,4991076.745614524,4848931.744370106,5134083.034415963,4114549.85,2024-10,collections,-17.561879736365423,True
2024-11-01,3709459.4103955105,3578473.7595967473,3843329.094361402,1284965.48,2024-11,collections,-65.35976437971067,True
